Start_Name,Start_Lat,Start_Lon,End_Name,End_Lat,End_Lon,Distance_km,Duration_min
Pelabuhan Tanjung Perak,-7.203854,112.723741,Tunjungan Plaza,-7.266735,112.736115,11.8138,14.015
Pelabuhan Tanjung Perak,-7.203854,112.723741,Kebun Binatang Surabaya,-7.290215,112.735337,13.5936,14.611666666666668
Pelabuhan Tanjung Perak,-7.203854,112.723741,Surabaya Town Square,-7.290116,112.734558,13.7025,15.028333333333334
Pelabuhan Tanjung Perak,-7.203854,112.723741,Grand City Mall,-7.261414,112.751639,10.2531,11.663333333333332
Pelabuhan Tanjung Perak,-7.203854,112.723741,Terminal Bungurasih,-7.345473,112.742177,22.5153,24.0
Pelabuhan Tanjung Perak,-7.203854,112.723741,Galaxy Mall,-7.273925,112.779602,15.4304,17.1
Pelabuhan Tanjung Perak,-7.203854,112.723741,Pakuwon Mall,-7.291418,112.677844,16.3181,19.366666666666667
Pelabuhan Tanjung Perak,-7.203854,112.723741,Stadion Gelora Bung Tomo,-7.268027,112.63066,20.1133,24.08833333333333
Galaxy Mall,-7.273925,112.779602,Stasiun Gubeng,-7.257472,112.752088,6.0299,8.221666666666668
Galaxy Mall,-7.273925,112.779602,Tunjungan Plaza,-7.266735,112.736115,8.498899999999999,10.591666666666669
Galaxy Mall,-7.273925,112.779602,Kebun Binatang Surabaya,-7.290215,112.735337,8.217600000000001,9.768333333333334
Galaxy Mall,-7.273925,112.779602,Surabaya Town Square,-7.290116,112.734558,8.3265,10.185
Galaxy Mall,-7.273925,112.779602,Grand City Mall,-7.261414,112.751639,6.2061,7.491666666666666
Galaxy Mall,-7.273925,112.779602,Terminal Bungurasih,-7.345473,112.742177,16.483,18.935
Galaxy Mall,-7.273925,112.779602,Pelabuhan Tanjung Perak,-7.203854,112.723741,14.129,16.076666666666668
Galaxy Mall,-7.273925,112.779602,Pakuwon Mall,-7.291418,112.677844,15.1802,18.006666666666668
Galaxy Mall,-7.273925,112.779602,Stadion Gelora Bung Tomo,-7.268027,112.63066,20.135,24.92
Pakuwon Mall,-7.291418,112.677844,Stasiun Gubeng,-7.257472,112.752088,13.7279,14.87
Pakuwon Mall,-7.291418,112.677844,Tunjungan Plaza,-7.266735,112.736115,9.8621,12.91
Pakuwon Mall,-7.291418,112.677844,Kebun Binatang Surabaya,-7.290215,112.735337,8.662600000000001,9.726666666666668
Pakuwon Mall,-7.291418,112.677844,Surabaya Town Square,-7.290116,112.734558,8.7715,10.143333333333334
Pakuwon Mall,-7.291418,112.677844,Grand City Mall,-7.261414,112.751639,13.9041,14.14
Pakuwon Mall,-7.291418,112.677844,Terminal Bungurasih,-7.345473,112.742177,17.098,18.638333333333332
Pakuwon Mall,-7.291418,112.677844,Pelabuhan Tanjung Perak,-7.203854,112.723741,14.5818,19.256666666666668
Pakuwon Mall,-7.291418,112.677844,Galaxy Mall,-7.273925,112.779602,16.3332,18.69
Pakuwon Mall,-7.291418,112.677844,Stadion Gelora Bung Tomo,-7.268027,112.63066,8.851299999999998,14.593333333333334
Stadion Gelora Bung Tomo,-7.268027,112.63066,Stasiun Gubeng,-7.257472,112.752088,17.6525,21.666666666666668
Stadion Gelora Bung Tomo,-7.268027,112.63066,Tunjungan Plaza,-7.266735,112.736115,14.6185,18.615
Stadion Gelora Bung Tomo,-7.268027,112.63066,Kebun Binatang Surabaya,-7.290215,112.735337,15.5852,19.95
Stadion Gelora Bung Tomo,-7.268027,112.63066,Surabaya Town Square,-7.290116,112.734558,15.6941,20.366666666666667
Stadion Gelora Bung Tomo,-7.268027,112.63066,Grand City Mall,-7.261414,112.751639,17.828599999999998,20.936666666666667
Stadion Gelora Bung Tomo,-7.268027,112.63066,Terminal Bungurasih,-7.345473,112.742177,24.0206,28.861666666666668
Stadion Gelora Bung Tomo,-7.268027,112.63066,Pelabuhan Tanjung Perak,-7.203854,112.723741,18.6253,23.826666666666664
Stadion Gelora Bung Tomo,-7.268027,112.63066,Galaxy Mall,-7.273925,112.779602,20.2577,25.486666666666668
Stadion Gelora Bung Tomo,-7.268027,112.63066,Pakuwon Mall,-7.291418,112.677844,9.1285,14.7
