Start_Name,Start_Lat,Start_Lon,End_Name,End_Lat,End_Lon,Traffic_Condition,Distance_km,Travel_Time_Mobil_min,Travel_Time_Motor_min
Tunjungan Plaza,-7.266735,112.736115,Grand City Mall,-7.261414,112.751639,macet,3.946365999999999,15.785463999999996,11.839097999999996
Tunjungan Plaza,-7.266735,112.736115,Terminal Bungurasih,-7.345473,112.742177,lancar,10.489434000000003,12.587320800000004,10.489434000000003
Tunjungan Plaza,-7.266735,112.736115,Terminal Bungurasih,-7.345473,112.742177,sedang,10.489434000000003,20.978868000000006,15.734151000000002
Tunjungan Plaza,-7.266735,112.736115,Terminal Bungurasih,-7.345473,112.742177,macet,10.489434000000003,41.95773600000001,31.468302000000005
Tunjungan Plaza,-7.266735,112.736115,Pelabuhan Tanjung Perak,-7.203854,112.723741,lancar,8.126012999999995,9.751215599999993,8.126012999999995
Tunjungan Plaza,-7.266735,112.736115,Pelabuhan Tanjung Perak,-7.203854,112.723741,sedang,8.126012999999995,16.25202599999999,12.189019499999993
Tunjungan Plaza,-7.266735,112.736115,Pelabuhan Tanjung Perak,-7.203854,112.723741,macet,8.126012999999995,32.50405199999998,24.378038999999987
Tunjungan Plaza,-7.266735,112.736115,Galaxy Mall,-7.273925,112.779602,lancar,7.088038999999998,8.5056468,7.088038999999998
Tunjungan Plaza,-7.266735,112.736115,Galaxy Mall,-7.273925,112.779602,sedang,7.088038999999998,14.176077999999997,10.632058499999998
Tunjungan Plaza,-7.266735,112.736115,Galaxy Mall,-7.273925,112.779602,macet,7.088038999999998,28.352155999999994,21.264116999999995
Tunjungan Plaza,-7.266735,112.736115,Pakuwon Mall,-7.291418,112.677844,lancar,9.133016999999999,10.959620399999999,9.133016999999999
Tunjungan Plaza,-7.266735,112.736115,Pakuwon Mall,-7.291418,112.677844,sedang,9.133016999999999,18.266033999999998,13.699525499999998
Tunjungan Plaza,-7.266735,112.736115,Pakuwon Mall,-7.291418,112.677844,macet,9.133016999999999,36.532067999999995,27.399050999999996
Tunjungan Plaza,-7.266735,112.736115,Stadion Gelora Bung Tomo,-7.268027,112.63066,lancar,13.811392999999997,16.573671599999997,13.811392999999997
Tunjungan Plaza,-7.266735,112.736115,Stadion Gelora Bung Tomo,-7.268027,112.63066,sedang,13.811392999999997,27.622785999999994,20.717089499999993
Tunjungan Plaza,-7.266735,112.736115,Stadion Gelora Bung Tomo,-7.268027,112.63066,macet,13.811392999999997,55.24557199999999,41.434178999999986
Kebun Binatang Surabaya,-7.290215,112.735337,Stasiun Gubeng,-7.257472,112.752088,lancar,5.041483000000001,6.049779600000002,5.041483000000001
Kebun Binatang Surabaya,-7.290215,112.735337,Stasiun Gubeng,-7.257472,112.752088,sedang,5.041483000000001,10.082966000000003,7.562224500000002
Kebun Binatang Surabaya,-7.290215,112.735337,Stasiun Gubeng,-7.257472,112.752088,macet,5.041483000000001,20.165932000000005,15.124449000000004
Kebun Binatang Surabaya,-7.290215,112.735337,Tunjungan Plaza,-7.266735,112.736115,lancar,3.253483000000001,3.904179600000001,3.253483000000001
Kebun Binatang Surabaya,-7.290215,112.735337,Tunjungan Plaza,-7.266735,112.736115,sedang,3.253483000000001,6.506966000000002,4.8802245000000015
Kebun Binatang Surabaya,-7.290215,112.735337,Tunjungan Plaza,-7.266735,112.736115,macet,3.253483000000001,13.013932000000004,9.760449000000003
Kebun Binatang Surabaya,-7.290215,112.735337,Grand City Mall,-7.261414,112.751639,lancar,5.261242,6.3134904,5.261242
Kebun Binatang Surabaya,-7.290215,112.735337,Grand City Mall,-7.261414,112.751639,sedang,5.261242,10.522484,7.891863000000001
Kebun Binatang Surabaya,-7.290215,112.735337,Grand City Mall,-7.261414,112.751639,macet,5.261242,21.044968,15.783726000000001
Kebun Binatang Surabaya,-7.290215,112.735337,Terminal Bungurasih,-7.345473,112.742177,lancar,7.408260999999999,8.889913199999999,7.408260999999999
Kebun Binatang Surabaya,-7.290215,112.735337,Terminal Bungurasih,-7.345473,112.742177,sedang,7.408260999999999,14.816521999999997,11.112391499999998
Kebun Binatang Surabaya,-7.290215,112.735337,Terminal Bungurasih,-7.345473,112.742177,macet,7.408260999999999,29.633043999999995,22.224782999999995
Kebun Binatang Surabaya,-7.290215,112.735337,Pelabuhan Tanjung Perak,-7.203854,112.723741,lancar,10.532428000000003,12.638913600000004,10.532428000000003
Kebun Binatang Surabaya,-7.290215,112.735337,Pelabuhan Tanjung Perak,-7.203854,112.723741,sedang,10.532428000000003,21.064856000000006,15.798642000000005
Kebun Binatang Surabaya,-7.290215,112.735337,Pelabuhan Tanjung Perak,-7.203854,112.723741,macet,10.532428000000003,42.12971200000001,31.59728400000001
Kebun Binatang Surabaya,-7.290215,112.735337,Galaxy Mall,-7.273925,112.779602,lancar,7.137269999999999,8.564724,7.137269999999999
Kebun Binatang Surabaya,-7.290215,112.735337,Galaxy Mall,-7.273925,112.779602,sedang,7.137269999999999,14.274539999999998,10.705904999999998
Kebun Binatang Surabaya,-7.290215,112.735337,Galaxy Mall,-7.273925,112.779602,macet,7.137269999999999,28.549079999999996,21.411809999999996
Kebun Binatang Surabaya,-7.290215,112.735337,Pakuwon Mall,-7.291418,112.677844,lancar,7.375101,8.8501212,7.375101
Kebun Binatang Surabaya,-7.290215,112.735337,Pakuwon Mall,-7.291418,112.677844,sedang,7.375101,14.750202,11.0626515
Kebun Binatang Surabaya,-7.290215,112.735337,Pakuwon Mall,-7.291418,112.677844,macet,7.375101,29.500404,22.125303
Kebun Binatang Surabaya,-7.290215,112.735337,Stadion Gelora Bung Tomo,-7.268027,112.63066,lancar,12.942092,15.530510399999999,12.942092
Kebun Binatang Surabaya,-7.290215,112.735337,Stadion Gelora Bung Tomo,-7.268027,112.63066,sedang,12.942092,25.884184,19.413138
Kebun Binatang Surabaya,-7.290215,112.735337,Stadion Gelora Bung Tomo,-7.268027,112.63066,macet,12.942092,51.768368,38.826276
Surabaya Town Square,-7.290116,112.734558,Stasiun Gubeng,-7.257472,112.752088,lancar,5.041483000000001,6.049779600000002,5.041483000000001
Surabaya Town Square,-7.290116,112.734558,Stasiun Gubeng,-7.257472,112.752088,sedang,5.041483000000001,10.082966000000003,7.562224500000002
Surabaya Town Square,-7.290116,112.734558,Stasiun Gubeng,-7.257472,112.752088,macet,5.041483000000001,20.165932000000005,15.124449000000004
Surabaya Town Square,-7.290116,112.734558,Tunjungan Plaza,-7.266735,112.736115,lancar,3.253483000000001,3.904179600000001,3.253483000000001
Surabaya Town Square,-7.290116,112.734558,Tunjungan Plaza,-7.266735,112.736115,sedang,3.253483000000001,6.506966000000002,4.8802245000000015
Surabaya Town Square,-7.290116,112.734558,Tunjungan Plaza,-7.266735,112.736115,macet,3.253483000000001,13.013932000000004,9.760449000000003
Surabaya Town Square,-7.290116,112.734558,Grand City Mall,-7.261414,112.751639,lancar,5.261242,6.3134904,5.261242
Surabaya Town Square,-7.290116,112.734558,Grand City Mall,-7.261414,112.751639,sedang,5.261242,10.522484,7.891863000000001
